Author,Comment,Likes,PublishedAt
@WalterRockers,20025,0,2024-10-13T06:11:11Z
@makoykoyvlog,Sep 2024?,1,2024-10-13T04:27:10Z
@reedburkhart8787,I do love this song but what a weird ego trip to come up with this! I don’t think anyone is digging on you that hard. Man or woman to kill their whole family just cause they’re a fan. I think Em got a little carried away with himself there. Still a great song. Music video is a little far-fetched though. Very bold and boisterous.,3,2024-10-13T04:17:29Z
@danielachaconmiranda,2024 ❤🎉,0,2024-10-13T03:47:41Z
@YAHANDSONGLORY777,JESUS IS ALWAYS THERE FOR YOU REMEMBER 🎉❤,1,2024-10-13T03:37:30Z
@michellegodoy3082,Outubro 2024 ✌,0,2024-10-13T03:25:01Z
@abdelkadermehiz9407,Who&#39;s here from 2029 ?,1,2024-10-13T02:21:28Z
@juvenalleonperes3553,¿is eminen a rap machine gun?,0,2024-10-13T01:56:14Z
@УльянаКонева-щ1э,Эминэм ❤ моя любовь. <br>Лучший белый рэпер. <br>Легенда ❤❤❤⁰,3,2024-10-13T01:44:31Z
@erickdondi170,13 october 2024,1,2024-10-13T01:40:00Z
@gordong645,❤❤❤,1,2024-10-13T00:14:54Z
@ShaneiceTurner-zv8tf,Story teller,0,2024-10-13T00:09:24Z
@DiegoFerreira-xm7dk,October 2024?,10,2024-10-12T23:48:42Z
@GabrielAlvesPaiva,Brazil Amazonas,1,2024-10-12T23:32:44Z
@Qwertyuiopasdfghjjlzxcvbnm55,Sunday October 13th 4:24 AM I&#39;m gonna tell you all this song will never age.,1,2024-10-12T22:55:26Z
@MutleyRobotham,Timeless,2,2024-10-12T22:52:05Z
@LakesWizzytheShackboy,2024 I still here,1,2024-10-12T22:39:12Z
@diddleysquin,The mild hilarity that the censorship steals so much of the plot from this. When you bubble wrap everything the messages get lost.,2,2024-10-12T22:26:49Z
@Thales-on9jq,Sou apaixonado com essa musica,0,2024-10-12T22:11:31Z
@thedarkknight463,Stanley ábrela puerta kiero kgar,0,2024-10-12T21:44:13Z
@Storymones-z1h,At the end If you look When the thunder crashes You can see Stan,2,2024-10-12T21:30:06Z
@Earlsimmons-h6n,2025 anyone? I will like I always have every year. This is a classic. 🫶,1,2024-10-12T21:10:24Z
@realeques,every parasocial twitch stream donator should see this,0,2024-10-12T21:02:52Z
@jura8665,Ouvindo nesse exato momento rsrrs,0,2024-10-12T20:56:03Z
@MarkosChess,October 2024?,4,2024-10-12T20:23:24Z
@1betoniarka_,october 2024 ?,2,2024-10-12T20:22:52Z
@Pokyuc,ERES MI BEBÉ MI BEBITO FIU FIU,2,2024-10-12T20:04:13Z
@dramadorama1003,Почему убрали все моменты с Дайдо в багажнике ?,0,2024-10-12T20:03:05Z
@RUTHstarz,This is a masterpiece! Insanity of a song,2,2024-10-12T19:01:27Z
@UrmilaPariyar-p4j,2pac,1,2024-10-12T18:29:28Z
@Freya-h4s,The censorship has degraded the depth of emotion and overall connective quality and vibability of the art. 😢,1,2024-10-12T18:28:39Z
@SherlinLópezpineda,Octubre 2024,2,2024-10-12T18:21:17Z
@laec-hq2kp,switch Lane😂,0,2024-10-12T17:37:03Z
@laec-hq2kp,And snitch sNuff😢,0,2024-10-12T17:36:25Z
@laec-hq2kp,"Them need, me I stay at Home. lONE😅",0,2024-10-12T17:35:46Z
@amrhasan4184,How in the world did he write this song in 2000 and in this album precisely?<br><br>It&#39;s like he knew he would have stans after he drops this iconic album 😮.,1,2024-10-12T17:19:55Z
@fastair8546,this song is a masterpiece,12,2024-10-12T16:54:53Z
@kidd_wonder,14 years later?,0,2024-10-12T16:52:24Z
@NicholasChristine-w4l,Perez Michael Thomas Deborah Martinez Robert,0,2024-10-12T15:31:59Z
@ME.-fn9jr,November 2025 ?,6,2024-10-12T15:17:18Z
@kakulimuyumbi8287,You kids of 2090👀,0,2024-10-12T15:07:01Z
@briannjobvu2987,Em💪💪💪,1,2024-10-12T14:46:48Z
@donsayvan1979,This is the reason why the king of rap in the Philippines was demand,2,2024-10-12T14:25:01Z
@GiornoLovesDeathGrips,the use of colour in this amazing,4,2024-10-12T14:22:37Z
@Devioktobrianto1971,Eminem 2007,0,2024-10-12T14:14:22Z
@kristiassange2786,"Two days in a row. It must be weird being famous &amp; having random people idolize you. I wonder if Marshall made this story up or if it really happened? Love, Kristi ❤",1,2024-10-12T12:17:14Z
@SoulAKIRA,MASTERPIECE,0,2024-10-12T12:14:03Z
@SourCherry_123,This song brings back the good old memories.,9,2024-10-12T11:54:11Z
@bewarebtw8835,"2024! Ten Typ Mes feat. Pijus - Uchyl Szybę<br><br><a href=""https://www.youtube.com/watch?v=OqSRvJyUHeg"">https://youtu.be/OqSRvJyUHeg?si=WmjcOHTl3Sfd2hpC</a>",0,2024-10-12T11:49:34Z
@ScarletKnight1111,Me &amp; Dido is pregnant and wearing blue 🦋,1,2024-10-12T10:36:50Z
@hnnareyes,"October 12, 2024?",23,2024-10-12T09:35:20Z
@joewelgwoom2053,"Chorus: Dido<br><br>My tea&#39;s gone cold I&#39;m wondering why I..<br>got out of bed at all<br>The morning rain clouds up my window..<br>and I can&#39;t see at all<br>And even if I could it&#39;ll all be gray,<br>but your picture on my wall<br>It reminds me, that it&#39;s not so bad,<br>it&#39;s not so bad..<br><br>1st Chorus: volume gradually grows over raindrop background<br>2nd Chorus: full volume with beat right after &quot;thunder&quot; noise<br><br>[Eminem as &#39;Stan&#39;]<br>Dear Slim, I wrote but you still ain&#39;t callin<br>I left my cell, my pager, and my home phone at the bottom<br>I sent two letters back in autumn, you must not-a got &#39;em<br>There probably was a problem at the post office or somethin<br>Sometimes I scribble addresses too sloppy when I jot &#39;em<br>but anyways; fuck it, what&#39;s been up? Man how&#39;s your daughter?<br>My girlfriend&#39;s pregnant too, I&#39;m bout to be a father<br>If I have a daughter, guess what I&#39;ma call her?<br>I&#39;ma name her Bonnie<br>I read about your Uncle Ronnie too I&#39;m sorry<br>I had a friend kill himself over some bitch who didn&#39;t want him<br>I know you probably hear this everyday, but I&#39;m your biggest fan<br>I even got the underground shit that you did with Skam<br>I got a room full of your posters and your pictures man<br>I like the shit you did with Rawkus too, that shit was fat<br>Anyways, I hope you get this man, hit me back,<br>just to chat, truly yours, your biggest fan<br>This is Stan<br><br>{Chorus: Dido}<br><br>[Eminem as &#39;Stan&#39;]<br>Dear Slim, you still ain&#39;t called or wrote, I hope you have a chance<br>I ain&#39;t mad - I just think it&#39;s FUCKED UP you don&#39;t answer fans<br>If you didn&#39;t wanna talk to me outside your concert<br>you didn&#39;t have to, but you coulda signed an autograph for Matthew<br>That&#39;s my little brother man, he&#39;s only six years old<br>We waited in the blistering cold for you,<br>four hours and you just said, &quot;No.&quot;<br>That&#39;s pretty shitty man - you&#39;re like his fuckin idol<br>He wants to be just like you man, he likes you more than I do<br>I ain&#39;t that mad though, I just don&#39;t like bein lied to<br>Remember when we met in Denver - you said if I&#39;d write you<br>you would write back - see I&#39;m just like you in a way<br>I never knew my father neither;<br>he used to always cheat on my mom and beat her<br>I can relate to what you&#39;re saying in your songs<br>so when I have a shitty day, I drift away and put &#39;em on<br>cause I don&#39;t really got shit else so that shit helps when I&#39;m depressed<br>I even got a tattoo of your name across the chest<br>Sometimes I even cut myself to see how much it bleeds<br>It&#39;s like adrenaline, the pain is such a sudden rush for me<br>See everything you say is real, and I respect you cause you tell it<br>My girlfriend&#39;s jealous cause I talk about you 24/7<br>But she don&#39;t know you like I know you Slim, no one does<br>She don&#39;t know what it was like for people like us growin up<br>You gotta call me man, I&#39;ll be the biggest fan you&#39;ll ever lose<br>Sincerely yours, Stan -- P.S.<br>We should be together too<br><br>{Chorus: Dido}<br><br>[Eminem as &#39;Stan&#39;]<br>Dear Mister-I&#39;m-Too-Good-To-Call-Or-Write-My-Fans,<br>this&#39;ll be the last package I ever send your ass<br>It&#39;s been six months and still no word - I don&#39;t deserve it?<br>I know you got my last two letters;<br>I wrote the addresses on &#39;em perfect<br>So this is my cassette I&#39;m sending you, I hope you hear it<br>I&#39;m in the car right now, I&#39;m doing 90 on the freeway<br>Hey Slim, I drank a fifth of vodka, you dare me to drive?<br>You know the song by Phil Collins, &quot;In the Air of the Night&quot;<br>about that guy who coulda saved that other guy from drowning<br>but didn&#39;t, then Phil saw it all, then at a a show he found him?<br>That&#39;s kinda how this is, you coulda rescued me from drowning<br>Now it&#39;s too late - I&#39;m on a 1000 downers now, I&#39;m drowsy<br>and all I wanted was a lousy letter or a call<br>I hope you know I ripped +ALL+ of your pictures off the wall<br>I love you Slim, we coulda been together, think about it<br>You ruined it now, I hope you can&#39;t sleep and you dream about it<br>And when you dream I hope you can&#39;t sleep and you SCREAM about it<br>I hope your conscience EATS AT YOU and you can&#39;t BREATHE without me<br>See Slim; {*screaming*} Shut up bitch! I&#39;m tryin to talk!<br>Hey Slim, that&#39;s my girlfriend screamin in the trunk<br>but I didn&#39;t slit her throat, I just tied her up, see I ain&#39;t like you<br>cause if she suffocates she&#39;ll suffer more, and then she&#39;ll die too<br>Well, gotta go, I&#39;m almost at the bridge now<br>Oh shit, I forgot, how&#39;m I supposed to send this shit out?<br>{*car tires squeal*} {*CRASH*}<br>.. {*brief silence*} .. {*LOUD splash*}<br><br>{Chorus: Dido}<br><br>[Eminem]<br>Dear Stan, I meant to write you sooner but I just been busy<br>You said your girlfriend&#39;s pregnant now, how far along is she?<br>Look, I&#39;m really flattered you would call your daughter that<br>and here&#39;s an autograph for your brother,<br>I wrote it on the Starter cap<br>I&#39;m sorry I didn&#39;t see you at the show, I musta missed you<br>Don&#39;t think I did that shit intentionally just to diss you<br>But what&#39;s this shit you said about you like to cut your wrists too?<br>I say that shit just clownin dogg,<br>c&#39;mon - how fucked up is you?<br>You got some issues Stan, I think you need some counseling<br>to help your ass from bouncing off the walls when you get down some<br>And what&#39;s this shit about us meant to be together?<br>That type of shit&#39;ll make me not want us to meet each other<br>I really think you and your girlfriend need each other<br>or maybe you just need to treat her better<br>I hope you get to read this letter, I just hope it reaches you in time<br>before you hurt yourself, I think that you&#39;ll be doin just fine<br>if you relax a little, I&#39;m glad I inspire you but Stan<br>why are you so mad? Try to understand, that I do want you as a fan<br>I just don&#39;t want you to do some crazy shit<br>I seen this one shit on the news a couple weeks ago that made me sick<br>Some dude was drunk and drove his car over a bridge<br>and had his girlfriend in the trunk, and she was pregnant with his kid<br>and in the car they found a tape, but they didn&#39;t say who it was to<br>Come to think about, his name was.. it was you<br>Damn!",1,2024-10-12T08:58:11Z
@erdem.editz17,2025 someone?,2,2024-10-12T08:44:12Z
@rogeralarie9655,Oct 12 2024 4:34am anyone??,3,2024-10-12T08:35:14Z
@manoguix9,October 2024?,0,2024-10-12T08:34:57Z
@laramaeilagan8719,"Always a goosebumps, every sunday morning no wifi , just a cd and this song",2,2024-10-12T08:15:10Z
@NyoTun-c2t,Anyone here in October 2024?,2,2024-10-12T06:32:21Z
@poweredbygeorgianene4409,"Știu că ai îmbătrânit, dar în inimile noastre vei rămâne tot &quot;Eminem&quot; 😘🔥",0,2024-10-12T05:58:54Z
@UNTOUCHDH3RO,Is that the guy from final destination?,0,2024-10-12T05:57:03Z
@samkobylinski1740,shut the fuck up pencil.<br>i cant hear the man scream!,0,2024-10-12T05:52:32Z
@danielsimwaka9213,We are also here 🇿🇲,0,2024-10-12T05:18:31Z
@axelsamuel2908,Any1 in Africa listening to this song.......,0,2024-10-12T05:12:13Z
@kimanoguys018,12 oktober 2024  from indonesia❤❤❤,0,2024-10-12T04:55:15Z
@GamingGoCool,The guy playing stan is Caspers human form in the movie,0,2024-10-12T03:54:57Z
@Rafa-cake,I&#39;M WATCHING THIS IN OCTOBER 2024,1,2024-10-12T02:41:55Z
@rabies4gaybies,OKtoBrr of 2025??? Hurrr anyone?,1,2024-10-12T02:25:51Z
@sophiewinn9997,I think we’ve established a lot of people are watching in October 2024 😁 long live Eminem,0,2024-10-12T02:01:19Z
@Abutabby,Funny this eminem look tall compared today’s eminem,0,2024-10-12T01:34:42Z
@lucasdutra7371,Eu maratonando todas as musicas antigas por causa da polêmica Diddy 🤣🕺,1,2024-10-12T01:12:24Z
@zdnplay4289,Yes iam koment 2024 oct,0,2024-10-12T01:03:49Z
@charlesramoscaldeira729,Opa estamos aqui,0,2024-10-12T00:40:44Z
@jarrahdownes-b9g,loving this song f&amp;e,1,2024-10-12T00:37:03Z
@christopwell3913,Arteezy,0,2024-10-12T00:21:06Z
@Jojofan_XD,This song reminds me too much of Kars,1,2024-10-12T00:13:15Z
@marcosjm1000,esse mano e um mostro,1,2024-10-11T23:22:25Z
@wxxcable,I have and will NEVER forgotten /forget the DIdo’s portion and whole concept of the song,4,2024-10-11T22:56:12Z
@yessicaaguilar3979,2024,0,2024-10-11T22:12:54Z
@erachidiamine3586,12/10/2024 👉🎧🎧🎧🎧🎧,0,2024-10-11T22:12:14Z
@bistatch,Germany here 🇩🇪crank shit,0,2024-10-11T22:10:40Z
@runali8192,10/2024 🇩🇿<br>I remember my Sad day&#39;s 😢,0,2024-10-11T21:50:20Z
@Evgen.P,Бросил меня,0,2024-10-11T21:45:57Z
@briansoos1,Why not the song is still sound. Not just background noise but a true stry that makes you feel.,1,2024-10-11T21:33:54Z
@JacobDeWitt-xe1tw,February 2046 anyone?,4,2024-10-11T21:03:03Z
@kristiassange2786,"😢I didn’t know if I had the courage &amp;/or strength to listen to ‘Stan,’ but I did it. 😢A part of my husband from another planet &amp; I cried, but we made it. We love you, Marshall! 😢",1,2024-10-11T21:01:02Z
@onionbudgie1800,Such a good song it’s a shame that these YouTube dumb people don’t know how to title songs properly. Could’ve told me it was censored okay? That way I know not to click it. I fucking hate clean versions of songs okay?,2,2024-10-11T20:46:50Z
@jerrygraves6531,Eminem&#39;s is not Hip Hop. This is Hip Hop Inspired,1,2024-10-11T20:45:56Z
@Lahza24,Ekim 2024 🇹🇷 ❤,0,2024-10-11T20:40:26Z
@WalkerVirgil-i6q,Moore Thomas Johnson Anthony Walker Betty,0,2024-10-11T20:37:48Z
@demetriospresley73,It&#39;s good song about how us human being worship these celebrities but at the end we get nothing back from them if it wasn&#39;t for fans there won&#39;t be any artists they forget where they came from i got a twin sister she married a rich Italian man so she don&#39;t even care about me or my older brother her head and husband head they don&#39;t but you know GOD don&#39;t like ugly life is too short for people to be acting like that live for today cause tomorrow isn&#39;t promised we just don&#39;t know what tomorrow will bring,0,2024-10-11T20:11:35Z
@milda_gg1138,Damn I never cried to this song and now I’m shedding tears,0,2024-10-11T20:07:21Z
@mlinker9758,is this based by a true story?,0,2024-10-11T19:50:40Z
@OlumideOdufote-ms1zc,"11th, October 2024.:!!:.",0,2024-10-11T19:41:47Z
@nicolasgomez5308,C’est quoi cette version censurée 🤬,0,2024-10-11T19:37:47Z
@Annapurna818,Watched Hunter Hunter with Devon Sawa recently. Still a great sctor.,0,2024-10-11T18:11:28Z
@PangestuRomadhon,🔥🔥🔥,0,2024-10-11T17:39:20Z
@Claude_Fire,Wow. Eminem all songs are reviving. 😮,0,2024-10-11T17:39:02Z
@Mykhamedzhan,2024 🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿,0,2024-10-11T16:53:37Z
@bahtiarrifai1728,W ga ngerti artinya diawal tp pas reff w nangis,0,2024-10-11T15:25:38Z
@vitordalmoro9167,E o Brasil caraio 2024 11 de outubro,0,2024-10-11T15:04:17Z
@hangchetha9398,2024,0,2024-10-11T14:41:37Z
@kimlarsson6175,Just notis. Where is the drain pipe? Is she shiting straight on his head? Ofc hes mad...,0,2024-10-11T14:31:55Z
@MavisLaseter,828 Thurman Ferry,0,2024-10-11T14:28:05Z
@Itsyourtypashit,October 2024 anyone ?,4,2024-10-11T14:19:57Z
@julianmarindo6991,11 October 2024,0,2024-10-11T13:42:23Z
@wyveres,that censoring sucks xD,0,2024-10-11T13:27:18Z
@BLINDFOLDEDBEATS-u4f,"@BlindfoldedBeats:<a href=""https://www.youtube.com/watch?v=yPHFIYpWPI8"">https://youtu.be/yPHFIYpWPI8?si=LGo1HZnBjdZh7qAd</a>",0,2024-10-11T13:25:21Z
@27Arsya.Junior,Gwangju south korean oct 2024,0,2024-10-11T12:58:17Z
@ChandrakantChandanshiv-wd5tz,After 11 October 24 ?,0,2024-10-11T12:56:03Z
@Dir__zizo_ff__24,2024🥹🖤,0,2024-10-11T12:50:15Z
@Taoufiqqaba,November 2024?,6,2024-10-11T12:49:36Z
@martgiroux6339,Yes I&#39;m here...and they fucking censored the lyrics...2024...sissy world we are in ! 😮😮,0,2024-10-11T12:48:51Z
@yabinpun,Best song❤,0,2024-10-11T12:45:47Z
@0vrowAJ23,Great story 😅,1,2024-10-11T11:19:02Z
@RaviRavi-h6l6q,and single😢,0,2024-10-11T11:15:28Z
@RaviRavi-h6l6q,Im john travolta bukan tara otak,0,2024-10-11T11:15:09Z
@RaviRavi-h6l6q,no abcdedfg,0,2024-10-11T11:14:46Z
@RaviRavi-h6l6q,call stand 😅,0,2024-10-11T11:14:14Z
@AndrewAdolph-n7n,Martin Lisa Garcia Jason Thompson Robert,0,2024-10-11T10:18:02Z
@ranaiputra3326,December 3000 ?,1,2024-10-11T10:10:59Z
@hulioivanov3961,15 лет прошло<br>Ебануться просто,0,2024-10-11T09:48:50Z
@DonnaRobinson-q6p,Williams Ruth Davis Timothy Martin Amy,0,2024-10-11T08:20:00Z
@D.kkk99,I like im indonesia,0,2024-10-11T08:02:28Z
@MrAlleria911,True artist 2024❤,0,2024-10-11T06:31:19Z
@haninimnam1031,"so this song is this deep? I remember watched this video on MTV when I was 8 or 9 but I don&#39;t understand anything, and now I&#39;m 33 years old. still amaze me how Eminem does not getting old",0,2024-10-11T05:29:17Z
@frankajiri8503,EVERGREEN,0,2024-10-11T05:03:03Z
@小a漫剪,还有人我吃😊,0,2024-10-11T04:13:33Z
@waggysrules,Stanley abre la puerta me estoy cagando...,0,2024-10-11T04:02:41Z
@faishalabdulloh77,Pdidi % beyonce % jayz is ashole dog black forever fuck you,0,2024-10-11T03:59:50Z
@tanaka1477,"A cool detail you might have missed:  &quot;Stan,&quot; the name of the character, is also a slang term meaning an obsessed fan",1,2024-10-11T03:52:53Z
@JamersonHenrique-qc3rx,I love this anthem so much 💘,0,2024-10-11T03:51:48Z
@喵喵-c4y,喜欢❤,0,2024-10-11T03:43:59Z
@yehtun2076,743 M views . ❤. Period 🩸,0,2024-10-11T03:09:12Z
@HuttVita-w2o,Brown Laura Williams Edward Lopez Kevin,0,2024-10-11T02:47:38Z
@Something3333,What’s the remix called I was looking for it it’s not even ur song,0,2024-10-11T01:02:15Z
@Something3333,Cus then it means someone wants something,1,2024-10-11T01:01:49Z
@Something3333,Nothing against u ur cool I just don’t want anything,1,2024-10-11T01:01:40Z
@josslee8798,Me right now 😢<br>Sorry if I ever offend you I apologize<br>I&#39;m going through a hard moment right now and I only find shelter in music and Bible<br>Yes I don&#39;t have a job,1,2024-10-11T00:53:15Z
@HelenTaylor-s5q,Lopez Larry Wilson Timothy Taylor Donald,0,2024-10-11T00:32:19Z
@MahendraHattu,11 0ct 2024...whooo wathcing🔥,0,2024-10-11T00:10:37Z
@captainbluntwrap8387,Still in 2034 anyone 🥳,1,2024-10-10T23:24:03Z
@georgiakalantzi5497,Who else has a song like Stan?,0,2024-10-10T22:28:24Z
@BouzamaSidali,No love 🖤☠️,0,2024-10-10T21:51:02Z
@aswede4535,Casper the ghost is back crazier than ever in the form of Stan. 👻,1,2024-10-10T21:30:38Z
@FabianoSantos-d2p,Eminem... dido...bigs...,0,2024-10-10T21:29:29Z
@alexandrac9363,I can&#39;t believe I was listening to this at 12. I&#39;d be concerned if I heard my kids listening. Yet here I am 😂,0,2024-10-10T21:25:35Z
@aimmejhoaharaalarconcastro3150,I&#39;m,0,2024-10-10T21:13:08Z
@marcleegsma7178,"I loved 8 mile, i like all those rappers but can all you people please stop the N <a href=""http://word.it/"">word.It</a> is not cool what colour you are",0,2024-10-10T21:09:02Z
@ariwashere-q6e,"Im not even joking this song gave me goosebumps a lot of people say that they get goosebumps and they didnt actually, but im telling you right now i got goosebumps at the end of the song this song is so powerful",0,2024-10-10T20:59:54Z
@eyupmiller,2024 ❤️‍🩹,0,2024-10-10T19:49:41Z
@unlesemm,PDD,0,2024-10-10T18:52:46Z
@Robloxnoob-c1,oof 😊,0,2024-10-14T18:21:59Z
@Torpedo-132,This has 140M views but this channel has only 224K subscribers,1,2024-10-13T14:23:46Z
@PspAz-cp4je,It&#39;s Harry potter 😂😂,0,2024-10-13T08:55:07Z
@Ph03n1X_X,are we not going to talk about how the person who laughed sounded like a minecraft chicken?,0,2024-10-13T06:11:37Z
@NotMushroomGT,Amazing,1,2024-10-12T17:03:51Z
@watermochi83,撮ってすぐどっか行くの、野生っぽくておもろい,0,2024-10-12T04:59:56Z
@2rengokuishot,why does his face remind me of harry potter-,0,2024-10-12T02:41:43Z
@JakeyWakes-k8e,OOF,0,2024-10-11T11:36:21Z
@LightIsPerson,This should have been the new oof.,0,2024-10-11T11:16:23Z
@Xc_kmo,6 years ago? Who is from 2024,0,2024-10-10T05:01:22Z
@BlackGuy-s8w,Why is it harry potter,0,2024-10-09T23:00:47Z
@TheoH-qd3wy,Why is he low k kinda good at it tho 🤣,0,2024-10-09T22:22:49Z
@AguyWhoLikesBananas,The guys laugh sounds like the minecraft chicken,2,2024-10-09T07:07:14Z
@LukasCarrein,this is fake and we all know it if you dont go do some researsh,1,2024-10-08T18:54:51Z
@DannyGerman-t2u,Who’s here in 2024,2,2024-10-07T06:36:51Z
@ritualfiend,this my homie vance if anyones still watching or wondering hes doing good and i had an excellent time tripping wit him today,1,2024-10-07T01:01:18Z
@Cake-u6q,Who here in 2025,5,2024-10-06T02:10:47Z
@burhguor,Copyright your getting sued,0,2024-10-05T19:42:06Z
@Lazypanda377,Why does it say it was recorded in Chernobyl???,0,2024-10-05T14:03:38Z
@Hence_I_Win,Bro lives in Chernobyl,0,2024-10-05T08:32:13Z
@Lilyandlunatheyoutubers,Mines like: OoOf,0,2024-10-05T08:10:35Z
@OrangeBall_HL,Its a Fake,0,2024-10-04T16:19:13Z
@suflyzz,roblox in the Chernobyl,1,2024-10-04T06:46:01Z
@Xanxitoian,Blud died 4 times,0,2024-10-03T19:39:01Z
@EliamRomeo-rh5xc,The views on this 🫡🫡🫡🫡🫡🫡,0,2024-10-02T23:39:19Z
@BillyBob-s4u,Who in 2024,0,2024-10-02T21:48:16Z
@Mugsyma,The oof sound actually came from a game in the ‘90s named messaiah,2,2024-10-02T08:14:25Z
@CommonIdiotYT,Anyone in October 2024?,0,2024-10-01T08:51:11Z
@WitchOfDxrkness,Anyone miss the oof?,0,2024-09-30T22:24:53Z
@Itzzz_Corey,Actually that’ you know why Roblox removed oof sound because he got sued by the real owner of oof,0,2024-09-30T20:28:51Z
@N30NStormzz,Rest in peace oof sound effect<br>👇,1,2024-09-30T14:18:57Z
@Nick-eg6nx,And come to find out I live near where this was found,0,2024-09-29T23:24:49Z
@TheGorillaTagShow,THE LEGEND IS IN OUR HANDS AT ONCE,0,2024-09-29T04:28:04Z
@cauacordeiro2961,Warning: This video is not the original sound of &#39;OOF&#39;,1,2024-09-28T23:17:05Z
@MessierbeChaneel,OFF,0,2024-09-28T23:03:54Z
@JkmThemanunbanned,we all want this sound back can i get an rip 😢😢😢😢😢😢😢,0,2024-09-28T22:56:12Z
@JkmThemanunbanned,we all want this sound back can i get an rip 😢😢😢😢😢😢😢,0,2024-09-28T22:55:54Z
@kaimu1178,あの頃のoofがやっぱり良かった…,1,2024-09-28T10:24:18Z
@Dominic-i1b,Bro is voice actor,0,2024-09-28T07:24:38Z
@cool_msroro,💕 2025 💕,0,2024-09-27T18:41:19Z
@ShortTwi,timedeo,0,2024-09-27T16:39:38Z
@AKSHAYyawn,Bro that’s my comunity,0,2024-09-27T13:09:40Z
@AKSHAYyawn,He’s harry potter,1,2024-09-27T13:09:16Z
@Timothy_black907,Time really flies by its been 7 months witout the boys,0,2024-09-27T08:19:10Z
@Masabang1570,Ahh soudn ohh roblox death 😩,0,2024-09-27T06:05:07Z
@nizarsaidi-h9t,lool baddies browl,0,2024-09-26T21:20:17Z
@GRANTistheGOAT,Now it’s like UUUAH,0,2024-09-26T12:23:23Z
@CapybaraKingHere,if he didn&#39;t copy the oof sound holy<br><br><br><br><br><br>(not the real sound),0,2024-09-26T07:40:03Z
@celiafeconors216,Perez Angela Brown Larry Brown Jose,0,2024-09-26T07:07:21Z
@KittyCrazRoblox,Rip: OG roblox oof,0,2024-09-25T21:13:43Z
@SwichGeometryDash,Oof!,0,2024-09-25T14:18:07Z
@deathpark1821-f8u,"origin: the orignial roblox oof was created in 1999 for a game called messiah. the game did poorly and the sound was brought to a free sound effects website, where the roblox developers (not the guys that make the games) bought it for roblox",0,2024-09-25T01:25:51Z
@NormalUser7392,Bro played a lil roblox,0,2024-09-24T21:06:19Z
@hananalaedine,Who watchin this in 2024😢I missed this sound,0,2024-09-24T19:03:28Z
@sarahhager2587,WAIT THE LOCATION SAYS CHINOBLE wait didn’t nuclear power pit explode there that had WAY to high radiation,1,2024-09-24T10:32:27Z
@CF456-b4c,Rip roblox oof sound 🙏 🪦,1,2024-09-24T02:46:34Z
@DorineWilkinson-c5y,School,0,2024-09-24T01:08:04Z
@itztobiyt6375,R.I.P oof sound,1,2024-09-23T23:33:41Z
@ThatoneEditor-m6y,People who miss the old OOF sound😢<br>👇,1,2024-09-23T19:17:32Z
@c0rpsecl0wn7,Tbh I can’t believe the sfx is from a game no one cares about yet they still sued Roblox,0,2024-09-23T17:18:02Z
@unknown00795,i am watching this in 2024 😂😂,1,2024-09-23T15:37:01Z
@dimidas2580,He’s a legend,0,2024-09-23T12:55:05Z
@KathyFarrer-h8f,Abigayle Me,0,2024-09-23T11:12:59Z
@number162funkyfridaymobileguy,this is fake lol,0,2024-09-22T21:01:18Z
@Arman-f8e,Megan I forgot,0,2024-09-22T17:16:53Z
@Arman-f8e,Roblox got sued for using the m3gan sound when he was on the moon so roblox changed it,0,2024-09-22T17:16:39Z
@Fishyman011-z2t,Yo tha sound is removed now,2,2024-09-22T07:03:17Z
@Leandro_Albornoz_2014,this is not the origin,1,2024-09-22T00:37:44Z
@jonathanford5210,I miss this sound,2,2024-09-22T00:37:15Z
@norafarmer7303,Lopez Kimberly Thompson Mary Clark Patricia,0,2024-09-22T00:05:02Z
@OnePieceFanForEverLuffyIsSigma,Rip 🪦 oof sound 🫡,3,2024-09-21T19:58:51Z
@KalebeSilva-n7g,😢does anyone in 2024 miss oof,1,2024-09-21T17:40:09Z
@allancecommanderplungerman,he said &quot;oo&quot;,1,2024-09-21T15:48:00Z
@dinosandzz,"<a href=""https://www.youtube.com/watch?v=YTC75cKzuNk&amp;t=5"">0:05</a>",1,2024-09-21T13:54:19Z
@dinosandzz,"<a href=""https://www.youtube.com/watch?v=YTC75cKzuNk&amp;t=4"">0:04</a>",0,2024-09-21T13:54:07Z
@dinosandzz,"<a href=""https://www.youtube.com/watch?v=YTC75cKzuNk&amp;t=3"">0:03</a>",0,2024-09-21T13:53:51Z
@mauricioscoolvideos763,Cool.,1,2024-09-21T08:20:22Z
@RobloxContentHere,AUOW,0,2024-09-21T06:03:41Z
@kingtrollack,That’s not the origin,0,2024-09-20T21:26:28Z
@diegoruvalcaba-d9j,Anyone here in 2024,1,2024-09-20T20:38:39Z
@RubinRoo,This is a meme oof it&#39;s all ROBLOX sound new ROBLOX when you die t,0,2024-09-20T19:46:12Z
@Coolnoobmommy,"It’s gone,its gone forever",0,2024-09-20T12:31:55Z
@Samlovescars8,Wow. That&#39;s is an Origin,0,2024-09-19T19:28:35Z
